"ReportId","CommitteeContactId","FirstName","MiddleName","LastOrCompanyName","Prefix","Suffix","AddressLine1","AddressLine2","City","StateCode","ZipCode","IsIndividual","TransactionDate","Amount","ScheduleCId","ReceiptType","ScheduleId","ReportUID"
"391454","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","07/29/2022","1.38","77388","bank interest","","{1E99C033-9BDC-4B29-B8A5-D378B6515E47}"
"391454","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","08/31/2022","1.54","77389","bank interest","","{1E99C033-9BDC-4B29-B8A5-D378B6515E47}"
"391454","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","09/30/2022","1.66","77390","bank interest","","{1E99C033-9BDC-4B29-B8A5-D378B6515E47}"
"391484","1085794","","","John Marshall Bank","","","14130 Noblewood Plaza","","Woodbridge","VA","22193","False","12/31/2023","27.10","77411","Bank Interest","","{0BA4D7A4-2707-794B-DD6A-596DCF74ADED}"
"391512","731042","","","Al Pugh Distributing Co.","","","13548 History Land Hwy","","Warsaw","VA","22572","False","10/19/2021","2451.19","77416","Refund","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391512","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","10/31/2021","4.02","77417","interest","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391512","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","10/31/2021","1.86","77418","interest","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391512","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","11/30/2021","3.60","77419","interest","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391512","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","11/30/2021","2.05","77420","interest","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391512","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","12/31/2021","2.45","77421","monthly bank interest","","{D4DBCC39-15F4-1174-EE76-500273CA15CC}"
"391513","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","01/31/2022","1.95","77422","interest on acc't","","{31178982-4DCA-669B-EA56-DDC6066E267E}"
"391513","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","02/28/2022","1.57","77423","interest of acc't","","{31178982-4DCA-669B-EA56-DDC6066E267E}"
"391513","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","03/31/2022","1.68","77424","interest on acc't","","{31178982-4DCA-669B-EA56-DDC6066E267E}"
"391515","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","05/31/2022","1.70","77425","interest Bank","","{5EE80144-4F54-8C38-B84C-FD8C01379655}"
"391515","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","06/30/2022","3.83","77426","Bank interest","","{5EE80144-4F54-8C38-B84C-FD8C01379655}"
"391515","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","06/30/2022","4.73","77427","bank interest","","{5EE80144-4F54-8C38-B84C-FD8C01379655}"
"391518","731042","","","Al Pugh Distributing Co.","","","13548 History Land Hwy","","Warsaw","VA","22572","False","11/14/2022","330.00","77428","returned product not used","","{4B95554A-2C32-400F-5BD4-28CC741C2BC5}"
"391518","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","10/31/2022","1.66","77429","Bank interest","","{4B95554A-2C32-400F-5BD4-28CC741C2BC5}"
"391518","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","11/30/2022","3.86","77430","interest operating account","","{4B95554A-2C32-400F-5BD4-28CC741C2BC5}"
"391518","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","12/30/2022","3.87","77431","interest operating account","","{4B95554A-2C32-400F-5BD4-28CC741C2BC5}"
"391518","958021","","","NCRC Federal Account","","","PO Box 664","","Callao","VA","22435","False","11/01/2022","1000.00","77432","TRANSFER FROM Federal acc't to operating acc't","","{4B95554A-2C32-400F-5BD4-28CC741C2BC5}"
"391519","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","01/31/2023","3.96","77433","bank interest","","{A1C58BBF-C200-88F8-4582-112660DF422E}"
"391519","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","01/31/2023","1.73","77434","bank interest","","{A1C58BBF-C200-88F8-4582-112660DF422E}"
"391519","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","02/28/2023","3.31","77435","bank interest","","{A1C58BBF-C200-88F8-4582-112660DF422E}"
"391519","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","02/28/2023","1.51","77436","bank interest","","{A1C58BBF-C200-88F8-4582-112660DF422E}"
"391523","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","09/30/2023","9.12","77437","interest","","{73FBB5C1-EA41-C098-1CA1-038D44A33F7D}"
"391559","217718","","","Chesapeake Bank","","","P.O. Box 1419","","Kilmarnock","VA","22482","False","10/31/2023",".20","77444","BANK REWARDS","","{EC7AAAC3-286C-3CD9-E1F2-95BF73724611}"
"391559","217718","","","Chesapeake Bank","","","P.O. Box 1419","","Kilmarnock","VA","22482","False","11/30/2023",".15","77445","BANK REWARDS","","{EC7AAAC3-286C-3CD9-E1F2-95BF73724611}"
"391559","217718","","","Chesapeake Bank","","","P.O. Box 1419","","Kilmarnock","VA","22482","False","12/29/2023",".10","77446","BANK REWARDS","","{EC7AAAC3-286C-3CD9-E1F2-95BF73724611}"
"391572","15566","","","Truist Bank","","","P. O. Box 622227","","Orlando","FL","32862-2227","False","10/10/2023",".46","77447","Interest","","{3BC5615D-DBA4-BCD6-E7BF-3BB1D99AAF09}"
"391572","15566","","","Truist Bank","","","P. O. Box 622227","","Orlando","FL","32862-2227","False","11/10/2023",".37","77448","Interest","","{3BC5615D-DBA4-BCD6-E7BF-3BB1D99AAF09}"
"391572","15566","","","Truist Bank","","","P. O. Box 622227","","Orlando","FL","32862-2227","False","12/06/2023",".34","77449","Interest","","{3BC5615D-DBA4-BCD6-E7BF-3BB1D99AAF09}"
"391702","","","","Friends of Rae C. Cousins","","","2917 Hanes Avenue","","Richmond","VA","23222","False","12/14/2023","1000.00","77451","Void of 8/28/2023 contribution","","{C2B59F79-D6AA-CAF2-DD08-2172AFB5E34D}"
"391702","","","","Tom Garrett for Delegate","","","3868 Paynes Pond Rd","","Scottsville","VA","24590","False","11/09/2023","500.00","77452","Void of 8/30/2023 contribution","","{C2B59F79-D6AA-CAF2-DD08-2172AFB5E34D}"
"391786","494116","","","Wells Fargo","","","3114 Western Branch Blvd","","Chesapeake","VA","23321","False","11/30/2023","3.00","77461","Bank Interest","","{E4E02F7F-15E0-AD10-04BA-70651C798DA4}"
"391786","494116","","","Wells Fargo","","","3114 Western Branch Blvd","","Chesapeake","VA","23321","False","12/29/2023","3.00","77462","Bank Interest","","{E4E02F7F-15E0-AD10-04BA-70651C798DA4}"
"391836","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","07/31/2023",".03","77464","Interest","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"391836","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","08/31/2023",".03","77465","Interest","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"391836","1067457","","","GotPrint.com","","","7651 N. San Fernando Rd.","","Burbank","CA","91505","False","08/31/2023","72.55","77466","Refund","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"391874","894679","","","Towne Bank","","","6515 George Washington Memorial Hwy","","Yorktown","VA","23692","False","12/29/2023",".18","77471","Checking Interest","","{2EBBE9C1-138E-9287-3403-99C33FD188A6}"
"391880","959844","","","Homebase Credit Union","","","4495 Crossing Blvd.","","Prince George","VA","23875","False","12/31/2023",".09","77472","Dividend","","{36C7209B-BF25-8AE8-D30E-34B43BE10AFB}"
"391903","1093432","","","uva credit union","","","484 Blackwell road","","Warrenton","VA","20186","False","12/31/2023",".01","77474","Dividend","","{3BCF557C-EC6D-6817-4C37-269610FE0E78}"
"391972","315770","","","Old Point National Bank","","","101 Queens Way","","Hampton","VA","23669","False","04/10/2018","5.00","77475","Bank Credit Memo","","{EEF03541-27AC-3F30-B5C6-4A3B635A4B25}"
"391972","315770","","","Old Point National Bank","","","101 Queens Way","","Hampton","VA","23669","False","04/16/2018","100.00","77476","Deposit Correction Credit","","{EEF03541-27AC-3F30-B5C6-4A3B635A4B25}"
"391992","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","09/29/2023",".01","77477","Interest","","{4EA15BB5-8053-6DB9-BEF5-03275F1F85C3}"
"391994","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","11/30/2023",".01","77478","Interest on account","","{FAA51F34-1340-F4B9-F990-C57706FC009E}"
"392000","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","04/28/2023",".02","77481","Interest","","{181BB82A-4FB5-FAE5-EEFD-367749B1047C}"
"392000","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","05/31/2023",".02","77482","Interest","","{181BB82A-4FB5-FAE5-EEFD-367749B1047C}"
"392002","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","06/30/2023",".03","77486","Interest","","{0CB8AAFA-EB71-41A8-29D3-25679AFF83D9}"
"392003","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","07/31/2023",".03","77487","Interest","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"392003","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","08/31/2023",".03","77488","Interest","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"392003","1067457","","","GotPrint.com","","","7651 N. San Fernando Rd.","","Burbank","CA","91505","False","08/31/2023","72.55","77489","Refund","","{530AB084-9129-D6CD-D433-97B661B29F5E}"
"392004","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","09/29/2023",".01","77490","Interest","","{4EA15BB5-8053-6DB9-BEF5-03275F1F85C3}"
"392006","1036517","","","Eastman Credit Union","","","2021 Meadowview Lane","","Kingsport","VA","37660","False","11/30/2023",".01","77491","Interest on account","","{FAA51F34-1340-F4B9-F990-C57706FC009E}"
"392036","978835","","","Integrity Bank for Business","","","2901 S. Lynnhaven Road","Suite 100","Virginia Beach","VA","23452","False","12/29/2023",".39","77492","Interest","","{4671EE9B-07D3-A2E9-A02C-216788DC93D3}"
"392036","1028758","","","Atlantic Union Bank","","","1051 E Cary Street","Suite 1200","Richmond","VA","23219-4044","False","12/29/2023",".41","77493","Interest","","{4671EE9B-07D3-A2E9-A02C-216788DC93D3}"
"392042","1037791","","","Walmart Headquarters","","","702 SW 8th St","","Bentonville","AR","72716","False","10/31/2023","21.04","77498","didn't use","","{FDE26BC7-BA5F-8955-5A6E-6D439D54C16C}"
"392042","1119787","","","Lowe's Home & Garden Supply Store","","","15150 Montanus Dr","","Culpeper","VA","22701","False","11/09/2023","63.16","77499","didn't need","","{FDE26BC7-BA5F-8955-5A6E-6D439D54C16C}"
"392093","","","","Engage Labs","","","71 Potomac Ave SE #703","","Washington","DC","20003","False","12/31/2023","80.56","77500","Fee Error","","{B07504DD-7B2A-1E27-EDA9-7B34B6D0F49B}"
"392093","","","","Friends Of Saddam Salim","","","PO Box 249","","Merrifield","VA","22116","False","12/31/2023","235.20","77501","Check Not Cashed","","{B07504DD-7B2A-1E27-EDA9-7B34B6D0F49B}"
"392093","","","","John Marshall Bank","","","2300 Wilson Blvd Ste 120","","Arlington","VA","22201","False","12/29/2023","1.60","77502","Interest","","{B07504DD-7B2A-1E27-EDA9-7B34B6D0F49B}"
"392093","","","","The Korea Times","","","7601 Little River Tpk","","Annandale","VA","22003","False","12/31/2023","234.00","77503","Check Not Cashed","","{B07504DD-7B2A-1E27-EDA9-7B34B6D0F49B}"
"392095","","","","Democracy Engine","","","2125 14th St NW","","Washington","DC","20009","False","12/31/2023","25.05","77504","Refund Of Payment","","{E9CDC106-64C5-7A9C-FFD9-F29107B66712}"
"392095","","","","Open Democracy PAC","","","600 Pennsylvania Ave SE #15180","","Washington","DC","20003","False","12/31/2023","25.05","77505","Refund Of Payment","","{E9CDC106-64C5-7A9C-FFD9-F29107B66712}"
"392102","","","","Amazon","","","410 Terry Ave N","","Seattle","WA","98109","False","12/11/2023","39.85","77506","Partial Refund","","{ACD9BB73-93BA-9EC9-2B14-A2C2110BE438}"
"392145","802046","","","DuPont Community Credit Union","","","P.O. Box 1365","","Waynesboro","VA","22980","False","12/28/2023",".03","77514","back interest","","{F50CBFBF-C1E2-71DD-BE50-28B9245E5E59}"
"392169","1119329","","","United Bank","","","12254 W Broad Street","","Henrico","VA","23233","False","12/07/2023","341.44","77522","Interest","","{C29161B5-72E0-F9BF-096F-28E6274CBD4F}"
"392182","1065619","","","Greenbriar Civic Association","","","4615 Stringfellow Rd","","Fairfax","VA","22033","False","12/14/2023","200.00","77523","Check never cashed","","{CE8C0D3C-F578-1055-548C-74F6FFA0EFFE}"
"392190","491058","","","Todd Gilbert for Delegate","","","PO Box 309","","Woodstock","VA","22664","False","12/13/2023","2500.00","77524","Refund","","{ED24D5BE-8829-67EF-899D-1CA9DA3A89B1}"
"392190","674274","","","Amanda Batten for Delegate","","","7405 Richmond Roa","","Williamsburg","VA","23188","False","11/02/2023","250.00","77525","Refund","","{ED24D5BE-8829-67EF-899D-1CA9DA3A89B1}"
"392190","816171","","","Atlantic First Union","","","8209 W Broad Street","","Richmond","VA","23294","False","10/31/2023","120.88","77526","Interest","","{ED24D5BE-8829-67EF-899D-1CA9DA3A89B1}"
"392190","816171","","","Atlantic First Union","","","8209 W Broad Street","","Richmond","VA","23294","False","12/31/2023","124.98","77527","Interest","","{ED24D5BE-8829-67EF-899D-1CA9DA3A89B1}"
"392190","816173","","","Atlantic First Union","","","8209 W Broad Street","","Richmond","VA","23294","False","11/30/2023","115.56","77528","Interest","","{ED24D5BE-8829-67EF-899D-1CA9DA3A89B1}"
"392281","828378","Richard","","Bell","","","119 Peyton St","","Winchester","VA","22601","True","12/30/2023","723.68","77541","Old outstanding check voided","","{F55649C5-D4FF-9D09-ED9F-2479744921CB}"
"392329","1037791","","","Walmart Headquarters","","","702 SW 8th St","","Bentonville","AR","72716","False","10/31/2023","21.04","77549","didn't use","","{FDE26BC7-BA5F-8955-5A6E-6D439D54C16C}"
"392329","1119787","","","Lowe's Home & Garden Supply Store","","","15150 Montanus Dr","","Culpeper","VA","22701","False","11/09/2023","63.16","77550","didn't need","","{FDE26BC7-BA5F-8955-5A6E-6D439D54C16C}"
"392375","","","","Wells Fargo Bank","","","8215 W Broad St","","Richmond","VA","23294-4126","False","10/31/2023","18.68","77561","Bank Interest","","{E467E7C1-7132-9260-AEF5-06F307E168A0}"
"392375","","","","Wells Fargo Bank","","","8215 W Broad St","","Richmond","VA","23294-4126","False","11/30/2023","1.97","77562","Bank Interest","","{E467E7C1-7132-9260-AEF5-06F307E168A0}"
"392375","","","","Wells Fargo Bank","","","8215 W Broad St","","Richmond","VA","23294-4126","False","12/31/2023","2.04","77563","Bank Interest","","{E467E7C1-7132-9260-AEF5-06F307E168A0}"
"392376","747392","","","Morgan Stanley","","","901 East Byrd Street","Suite 2000","Richmond","VA","23219","False","10/31/2023","1282.67","77564","Interest","","{5BA161D6-2375-5673-EF4D-0721B6009127}"
"392376","747392","","","Morgan Stanley","","","901 East Byrd Street","Suite 2000","Richmond","VA","23219","False","11/30/2023","1245.36","77565","Interest Revenue","","{5BA161D6-2375-5673-EF4D-0721B6009127}"
"392376","747392","","","Morgan Stanley","","","901 East Byrd Street","Suite 2000","Richmond","VA","23219","False","12/31/2023","1246.30","77566","Interest Revenue","","{5BA161D6-2375-5673-EF4D-0721B6009127}"
